country,date,elo_rating
Estonia,2024-01-12,1362
Estonia,2024-03-21,1357
Estonia,2024-03-26,1355
Estonia,2024-06-04,1353
Estonia,2024-06-08,1366
Estonia,2024-06-11,1370
Estonia,2024-09-05,1361
Estonia,2024-09-08,1356
Estonia,2024-10-11,1386
Estonia,2024-10-14,1371
Estonia,2024-11-16,1379
Estonia,2024-11-19,1376
Estonia,2025-06-09,1366
Estonia,2025-11-13,1341
Eswatini,2024-03-20,1263
Eswatini,2024-03-26,1247
Eswatini,2024-06-07,1243
Eswatini,2024-06-11,1216
Eswatini,2024-06-26,1222
Eswatini,2024-06-29,1232
Eswatini,2024-07-02,1229
Eswatini,2024-09-05,1221
Eswatini,2024-09-10,1217
Eswatini,2024-10-11,1232
Eswatini,2024-10-14,1215
Eswatini,2024-11-15,1223
Eswatini,2024-11-19,1218
Eswatini,2025-10-13,1211
Faroe Islands,2024-03-22,1269
Faroe Islands,2024-03-26,1268
Faroe Islands,2024-06-08,1255
Faroe Islands,2024-06-11,1246
Faroe Islands,2024-09-07,1256
Faroe Islands,2024-09-10,1244
Faroe Islands,2024-10-10,1250
Faroe Islands,2024-10-13,1247
Faroe Islands,2024-11-14,1280
Faroe Islands,2024-11-17,1277
Faroe Islands,2025-09-05,1273
Faroe Islands,2025-10-12,1370
Faroe Islands,2025-11-14,1369
Finland,2024-03-21,1621
Finland,2024-03-26,1623
Finland,2024-06-04,1621
Finland,2024-06-07,1627
Finland,2024-09-07,1611
Finland,2024-09-10,1607
Finland,2024-10-10,1580
Finland,2024-10-13,1570
Finland,2024-11-14,1557
Finland,2024-11-17,1538
Finland,2025-06-07,1532
Finland,2025-09-04,1554
Finland,2025-10-12,1543
Finland,2026-03-27,1542
Finland,2026-03-30,1542
France,2024-03-23,2083
France,2024-03-26,2084
France,2024-06-05,2085
France,2024-06-09,2076
France,2024-06-17,2087
France,2024-06-21,2080
France,2024-06-25,2060
France,2024-07-01,2077
France,2024-07-05,2068
France,2024-07-09,2046
France,2024-09-06,1997
France,2024-09-09,2014
France,2024-10-10,2019
France,2024-10-14,2040
France,2024-11-14,2021
France,2024-11-17,2055
France,2025-06-05,2013
France,2025-06-08,2055
France,2025-09-05,2066
France,2025-09-09,2067
France,2025-10-10,2068
France,2025-10-13,2051
France,2025-11-13,2060
France,2025-11-16,2062
France,2026-03-26,2070
France,2026-03-29,2081
Gabon,2024-03-22,1434
Gabon,2024-03-25,1430
Gabon,2024-06-07,1424
Gabon,2024-06-11,1435
Gabon,2024-09-06,1430
Gabon,2024-09-10,1445
Gabon,2024-10-11,1430
Gabon,2024-10-15,1444
Gabon,2024-11-15,1429
